TransactionAmount,CustomerAge,AccountBalance,TransactionPercentage,CustomerOccupation_encoded,Cluster,PC1,PC2,CustomerOccupation
237.06,71,1182.77,20.042780929512922,2,0,-4164.639081076969,-22.530788109238188,Retired
34.17,54,726.55,4.70304865460051,1,0,-4621.718524229981,-223.86468379204496,Engineer
740.25,41,14464.3,5.117772723187434,0,2,9118.889600048846,423.4900148027633,Doctor
453.54,58,12046.3,3.7649734773332897,0,2,6699.707792742759,147.1687799364903,Doctor
300.47,73,7885.64,3.8103438655581536,2,1,2538.4581558202763,11.875623398111088,Retired
110.93,19,1952.35,5.6818705662406845,3,0,-3395.6508422726447,-152.3633166275102,Student
201.69,59,7328.52,2.752124576312816,0,1,1980.903201171558,-84.53965603145178,Doctor
399.21,59,3210.39,12.434937811293954,1,0,-2136.344216594895,130.68664960475934,Engineer
1041.88,78,5726.2,18.194963501100208,2,1,382.21967457499795,762.5661039337908,Retired
630.36,62,1363.65,46.22593774062259,2,0,-3982.1314359363514,370.5882849901144,Retired
10.94,60,1241.99,0.8808444512435688,1,0,-4106.3692355443745,-249.3816259014779,Engineer
215.9,38,7873.28,2.74218622988132,0,1,2525.690277319176,-72.67744180627494,Doctor
1422.55,79,5674.32,25.06996433052771,2,1,331.96939093146557,1143.4908559962646,Retired
226.37,49,9840.04,2.3004987784602497,0,2,4492.486408494379,-70.57370166629724,Doctor
444.89,43,10328.23,4.3075144531057115,0,2,4981.600982274275,145.82513010550514,Doctor
280.57,25,293.24,95.67930705224389,3,0,-5054.189746109906,26.925369073278034,Student
488.54,52,7486.63,6.525499457032069,1,1,2140.2314251742528,201.61301547165203,Engineer
3.3,50,11385.37,0.028984565279828407,0,2,6036.841019685001,-300.1797669577322,Doctor
199.39,69,7264.79,2.74460789644298,2,1,1917.1767905274482,-86.55589570749876,Retired
20.36,62,2762.48,0.7370189105441487,2,0,-2585.8547092222675,-246.43201573202956,Retired
113.64,62,6675.03,1.702464258587602,2,1,1327.0471960030754,-169.799345736055,Retired
493.11,53,7432.99,6.634073232978922,2,1,2086.612692112679,206.41345528386114,Retired
307.41,19,1057.0,29.083254493850525,3,0,-4290.191314706804,48.52789771861546,Student
11.18,43,5956.89,0.1876818272622123,0,1,608.4527734229932,-269.22789148757795,Doctor
313.82,59,7261.59,4.321643056135089,1,1,1914.4542675802677,27.87115739529287,Engineer
51.0,64,4943.16,1.0317286917680188,2,1,-405.06754716948035,-225.06574294683304,Retired
140.98,60,8127.48,1.7346090054973988,1,1,2779.5946527049555,-148.64811973779678,Engineer
288.04,68,1748.02,16.478072333268496,2,0,-3599.1725927543794,25.914133242898174,Retired
800.55,31,9660.22,8.287078348112155,1,2,4315.1093084066515,504.26934276637826,Engineer
485.54,46,6371.51,7.6204855677853445,1,1,1025.1021417932589,203.3805105133843,Engineer
521.15,54,9442.47,5.51921266363568,0,2,4096.192799719215,225.86577157229283,Doctor
321.79,63,5959.2,5.399885890723588,2,1,612.1175643557372,41.41139492582096,Retired
304.93,65,13531.22,2.2535292456999443,0,2,8183.9806323273,-7.724138007008406,Doctor
432.08,40,11500.62,3.757014839199973,0,2,6153.918422771379,128.01659705928466,Doctor
694.2,61,1389.37,49.965092092099304,2,0,-3956.1455162341044,434.39982310895493,Retired
116.86,55,6706.56,1.7424730413207368,1,1,1358.5816405006244,-166.7220454497642,Engineer
386.81,57,7175.29,5.390862250863728,0,1,1828.465544173513,101.22459708743895,Doctor
74.88,25,420.67,17.800175909858083,3,0,-4927.484997080912,-181.51940620283085,Student
195.76,75,7323.53,2.673027897748763,2,1,1975.9084096837323,-90.42895157078189,Retired
134.7,50,8395.85,1.6043640608157599,0,1,3047.921609337335,-156.08210855482685,Doctor
890.24,33,5140.93,17.31671117871669,1,1,-203.75413297654814,613.4024962662553,Engineer
361.27,63,7945.57,4.546810360993611,0,1,2598.635450960115,72.40339267377323,Doctor
131.56,44,5873.54,2.2398757818964374,0,1,525.6201226810508,-148.48551134332558,Doctor
485.51,76,3074.45,15.791767633235212,2,0,-2271.8952226344254,217.64564111738144,Retired
547.87,64,6155.76,8.900119562815965,2,1,809.6443928091267,266.65926083096167,Retired
457.3,28,8318.29,5.497524130560487,1,1,2971.7170864133577,166.79212006894784,Engineer
486.59,57,2513.56,19.358598959245054,2,0,-2832.8059888426633,221.19264267373734,Retired
163.68,41,10090.05,1.6221921596027773,0,2,4742.213816206778,-134.32817081698795,Doctor
52.01,48,1120.88,4.640104203839839,0,0,-4227.323978257481,-207.71822105239124,Doctor
523.74,43,13498.55,3.879972293320394,0,2,8152.222760169158,211.14860799189614,Doctor
705.6,40,14804.7,4.7660540233844655,0,2,9459.135331960264,387.3967256199363,Doctor
217.5,46,3057.4,7.113887616929417,1,0,-2290.1220583290096,-50.46455848436818,Engineer
91.48,51,14942.78,0.6122020132799921,0,2,9594.587436350463,-227.14506097213928,Doctor
5.25,39,14143.32,0.037119997284937346,0,2,8794.750840708948,-309.968910290548,Doctor
54.03,56,6736.3,0.8020723542597568,2,1,1388.0533148714258,-229.67695404700186,Retired
736.73,48,3313.07,22.237079204484058,1,0,-2032.2444292214172,467.8959223562397,Engineer
368.91,54,829.71,44.462523050222366,0,0,-4517.199098905682,111.46361198429884,Doctor
33.06,53,1540.87,2.145541155321345,2,0,-3807.409530407303,-228.51311676760898,Retired
66.5,32,6820.23,0.9750404311878045,1,1,1472.0044756040234,-217.59295066422803,Engineer
177.08,35,13475.14,1.3141236380475456,0,2,8127.312473891138,-135.34210069236207,Doctor
588.54,32,714.45,82.37665336972495,1,0,-4631.618868818987,332.5812254471931,Engineer
173.5,21,1306.91,13.275588984704378,3,0,-4040.8262585521934,-86.85011136743972,Student
78.33,56,7255.33,1.079620086198698,1,1,1907.1813250531077,-207.5862971778691,Engineer
40.66,59,1153.84,3.523885460722457,2,0,-4194.396989137227,-219.22310435381397,Retired
97.22,77,6647.73,1.4624541008735314,2,1,1299.6968435496883,-186.0851077326152,Retired
34.07,22,8709.77,0.3911699160827438,3,1,3361.3689064569307,-258.0709380669724,Student
492.06,23,857.9,57.356335237207134,3,0,-4488.546449473046,234.78329431063514,Student
73.55,51,2812.06,2.6155202947305534,1,0,-2536.0640188888165,-193.43419806023874,Engineer
760.53,57,6179.91,12.306489900338354,1,1,834.6953794500514,479.21376952352864,Engineer
273.08,26,6609.3,4.131753740940796,1,1,1261.9537859219654,-10.122446831726847,Engineer
371.69,67,3484.32,10.667504706800752,2,0,-1862.5223362414845,101.97164128881678,Retired
218.96,18,754.21,29.0317020458493,3,0,-4593.360338138575,-38.59790076678297,Student
227.39,18,751.09,30.274667483257662,3,0,-4596.446544700767,-30.121621518904817,Student
237.99,39,8510.09,2.7965626685499214,0,1,3162.5888788015445,-53.3019162696834,Doctor
186.6,58,1508.72,12.36810011135267,0,0,-3838.9113091012396,-74.5967093197836,Doctor
341.15,18,511.37,66.71294757220798,3,0,-4835.749394261624,85.68512360059339,Student
434.58,59,12648.32,3.4358713252036632,0,2,7301.640541218682,125.64925018613792,Doctor
75.15,23,1092.92,6.876075101562786,3,0,-4255.221821404555,-184.4333153647441,Student
23.3,59,6711.15,0.34718341863913044,1,1,1362.7761351149347,-260.2961740453109,Engineer
47.38,25,459.37,10.31412586803666,3,0,-4888.888378584135,-209.3932001694086,Student
512.81,79,6994.34,7.3317854150641795,2,1,1648.0856907400585,228.0212596895181,Retired
488.15,43,7071.09,6.903461842516499,1,1,1724.682312355908,202.9902839293644,Engineer
12.82,44,9045.19,0.1417327883659713,1,1,3696.722796574738,-280.7186064685384,Engineer
66.9,79,5238.71,1.277031941069462,2,1,-109.4334909735735,-210.4042064685142,Retired
535.91,43,9642.12,5.558010064176757,1,2,4295.889322083444,239.7583870324675,Engineer
270.72,26,6263.96,4.321866678586709,1,1,916.6074840583933,-11.007556728139747,Engineer
97.98,72,7460.33,1.313346728629967,2,1,2112.283820530948,-188.79058782281822,Retired
196.08,61,4233.82,4.631278608915826,2,1,-1113.7843755384656,-76.93202147116634,Retired
251.18,42,8303.9,3.0248437481183545,1,1,2956.4615897691883,-39.23084133588412,Engineer
44.52,28,314.28,14.165712103856437,3,0,-5033.993085563641,-211.51748481705067,Student
178.87,35,5241.23,3.412748534218113,0,1,-106.4921968578692,-98.48448602146797,Doctor
386.68,46,6863.06,5.634221469723418,0,1,1516.2239370979296,102.41615502029583,Doctor
167.14,76,3877.73,4.310253679343327,2,0,-1469.9744954025696,-104.336729772224,Retired
345.22,69,4046.58,8.531154703478,2,0,-1300.3763857095078,73.0622163246149,Retired
74.85,72,2409.73,3.106157121337245,2,0,-2938.357153631812,-190.38464040143694,Retired
671.73,58,5211.88,12.888439488246084,1,1,-133.70562421617888,394.5875226024946,Engineer
255.04,45,6217.86,4.101732750496152,1,1,870.4657526958727,-26.468354805078064,Engineer
45.77,25,5978.12,0.7656253136437543,3,1,629.8063665622876,-234.74795667816133,Student
329.69,26,1671.66,19.72231195338765,3,0,-3675.41397490515,67.91599405329112,Student
362.04,58,8421.88,4.298802642640362,0,1,3074.936845555668,71.13471079541779,Doctor
11.92,53,14611.9,0.08157734449318707,0,2,9263.372047503133,-305.2760128199209,Doctor
47.42,64,8253.52,0.5745427405519099,0,1,2905.237342075642,-242.73165704039698,Doctor
35.99,63,4489.79,0.8015965111954012,2,1,-858.4975089141062,-238.14953318972522,Retired
151.19,37,11903.82,1.2700964900342915,0,2,6555.902964144688,-154.53898336668348,Doctor
242.62,22,483.02,50.22980414889653,3,0,-4864.484222487526,-13.1633193005041,Student
48.72,21,816.08,5.970002940888148,3,0,-4532.173125101885,-209.70370616188438,Student
43.46,25,578.06,7.518250700619314,3,0,-4770.210884056799,-213.89880737240458,Student
443.79,53,3133.85,14.16117555084002,2,0,-2212.7026280313194,175.6160452549409,Retired
365.14,68,5894.09,6.195019078432803,2,1,547.2002591339105,85.04830141791945,Retired
757.41,22,9532.42,7.9456213637250555,3,2,4187.113330916752,461.671201969456,Student
20.54,51,5327.03,0.3855807081995033,1,1,-21.34917819140628,-257.1788020208633,Engineer
475.36,34,2000.6,23.76087173847846,1,0,-3345.847253840462,212.25130451030128,Engineer
34.74,56,6827.57,0.5088193896217835,2,1,1479.2395831604636,-249.355026558876,Retired
689.54,27,1633.76,42.20570952893938,3,0,-3711.807053049938,428.4326273178774,Student
211.18,73,4069.17,5.189756141915919,2,0,-1278.352655054055,-61.107910625355856,Retired
211.36,51,7943.47,2.6608018913648572,1,1,2595.876821334614,-77.50066717393469,Engineer
744.41,39,8842.47,8.418575352814315,1,1,3497.137450699108,451.6445858537801,Engineer
61.43,24,1882.77,3.2627458478730804,3,0,-3465.431892383182,-201.61095705999747,Student
167.44,37,12526.71,1.3366638167563551,0,2,7178.855209279855,-140.94249547222608,Doctor
361.46,21,4737.84,7.629215000928692,3,1,-609.1160400244498,86.27204633090815,Student
378.85,78,2300.53,16.46794434326003,2,0,-3046.2645681268023,114.34612283730343,Retired
241.11,30,12385.05,1.946782612908305,0,2,7037.504329345066,-66.69353248689339,Doctor
131.93,31,4547.06,2.901435213082739,1,1,-800.8604524566026,-142.4720967646435,Engineer
20.28,36,2047.83,0.9903165790129065,1,0,-3300.530582518739,-243.4972566727809,Engineer
415.88,70,10008.33,4.155338602943748,0,2,4661.615469875132,118.21592757431074,Doctor
49.99,62,2299.64,2.1738185107234176,2,0,-3048.5641702948,-214.80500453600408,Retired
100.66,50,14473.33,0.6954861113510159,0,2,9125.181370974871,-215.97204534258736,Doctor
485.54,19,1533.32,31.66592752980461,3,0,-3813.1141900998464,224.62949291821792,Student
321.15,46,7005.05,4.5845497177036565,0,1,1657.9316870139564,36.280769186749524,Doctor
711.3,21,955.4,74.45049194054846,3,0,-4390.1403995607725,454.01415635339833,Student
12.23,42,7844.88,0.15589785949562007,1,1,2496.422474545524,-276.2072192224184,Engineer
301.85,54,6586.19,4.58307458485103,1,1,1239.0039006888246,18.779732041095144,Engineer
29.34,65,3944.82,0.7437601715667634,2,0,-1403.4867045709993,-242.47894815846922,Retired
231.71,27,1127.98,20.542030887072464,3,0,-4219.5103385481825,-27.683218748360503,Student
179.43,58,2626.63,6.831186729763994,2,0,-2721.034842395246,-86.68009816835897,Retired
36.71,48,6459.38,0.5683207985905768,0,1,1111.0524311815007,-245.828411749697,Doctor
138.12,53,1649.69,8.372482102698083,0,0,-3698.150348284071,-123.77856619664544,Doctor
233.24,33,6939.23,3.3611798427203023,1,1,1591.7186132880115,-51.36173761008979,Engineer
609.14,39,9033.87,6.742846642690231,1,1,3687.9550453254515,315.5718403537901,Engineer
436.64,31,14365.18,3.039572076367995,0,2,9018.452326168757,120.36394777141146,Doctor
