TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,TransactionType,Location,Channel,CustomerOccupation,PreviousTransactionDate,CustomerAgeBin,Target
435.27,74.0,90.0,1.0,4673.28,2023-10-04 17:49:29,Debit,Chicago,Branch,Retired,2024-11-04 08:11:12,Senior,3
164.49,26.0,75.0,1.0,1509.27,2023-12-13 16:01:38,Debit,Baltimore,Branch,Student,2024-11-04 08:10:33,Young,3
510.23999999999995,19.0,105.0,1.0,781.7,2023-10-09 16:29:40,Debit,Oklahoma City,Online,Student,2024-11-04 08:11:35,Young,3
626.9,26.0,138.0,1.0,265.51,2023-11-27 16:45:57,Debit,Denver,Online,Student,2024-11-04 08:07:24,Young,3
22.01,41.0,175.0,1.0,1335.09,2023-03-27 16:45:18,Credit,Sacramento,Online,Engineer,2024-11-04 08:06:31,Adult,2
425.34,69.0,121.0,1.0,3907.5399999999995,2023-02-13 16:59:39,Credit,Kansas City,Online,Retired,2024-11-04 08:07:07,Senior,2
424.56,51.0,264.0,1.0,5183.85,2023-02-21 17:45:55,Debit,Omaha,Online,Engineer,,Senior,2
85.43,67.0,145.0,1.0,14904.9,2023-06-07 16:45:34,Debit,Virginia Beach,Branch,Doctor,2024-11-04 08:06:45,Senior,1
169.5,28.0,142.0,1.0,918.8799999999999,2023-09-07 16:51:27,Debit,San Diego,Branch,Student,2024-11-04 08:08:58,Young,1
104.63,62.0,90.0,1.0,4477.78,2023-03-29 17:47:16,Debit,Omaha,ATM,Retired,2024-11-04 08:10:42,Senior,2
316.95,25.0,83.0,1.0,1324.03,2023-08-04 17:53:40,Debit,Mesa,Branch,Student,2024-11-04 08:09:15,Young,1
60.540000000000006,57.0,52.00000000000001,1.0,3534.93,2023-12-14 17:52:37,Credit,Columbus,Branch,Retired,2024-11-04 08:09:57,Senior,3
292.56,68.0,61.00000000000001,1.0,4638.37,2023-03-03 17:37:41,Credit,Dallas,Branch,Retired,2024-11-04 08:07:49,Senior,2
386.52,48.0,28.0,1.0,5630.61,2023-06-09 16:18:15,Debit,Indianapolis,Branch,Engineer,2024-11-04 08:07:09,Adult,1
112.07,23.0,51.00000000000001,1.0,930.3,2023-10-02 16:35:22,Debit,Kansas City,Branch,Student,2024-11-04 08:11:37,Young,3
568.52,46.0,151.99999999999997,1.0,5499.91,2023-10-06 18:44:37,Debit,Indianapolis,ATM,Engineer,,Adult,3
349.64,48.0,226.0,1.0,6651.62,2023-11-07 16:48:23,Debit,Las Vegas,Online,Engineer,2024-11-04 08:08:09,Adult,3
601.4,56.0,104.0,1.0,8458.29,2023-05-30 17:43:25,Credit,Philadelphia,Branch,Engineer,2024-11-04 08:08:01,Senior,1
5.77,50.0,123.99999999999999,1.0,13988.12,2023-11-02 16:01:40,Debit,Charlotte,Online,Doctor,2024-11-04 08:11:32,Senior,3
201.33,42.0,186.0,1.0,2585.07,2023-03-29 17:00:31,Credit,Nashville,Branch,Engineer,2024-11-04 08:11:41,Adult,2
298.42,56.0,225.0,1.0,3014.75,2023-04-25 16:11:24,Debit,Indianapolis,Branch,Retired,2024-11-04 08:10:12,Senior,2
521.06,25.0,128.0,1.0,1951.42,2023-04-18 18:40:47,Debit,Albuquerque,Branch,Student,2024-11-04 08:12:10,Young,2
117.28,60.0,16.0,1.0,3665.77,2023-02-09 16:34:53,Credit,Austin,Online,Engineer,2024-11-04 08:07:11,Senior,2
189.12,32.0,103.0,1.0,977.01,2023-11-13 16:42:28,Credit,Indianapolis,,Engineer,2024-11-04 08:08:42,Adult,3
133.55,44.0,220.0,1.0,3846.2800000000007,2023-07-18 16:12:00,Debit,Atlanta,ATM,Engineer,2024-11-04 08:10:18,Adult,1
143.21,35.0,135.0,1.0,6374.82,2023-01-13 17:00:16,Debit,Dallas,Online,Engineer,2024-11-04 08:09:26,Adult,2
24.77,62.0,55.0,1.0,5866.01,2023-07-04 18:20:33,Debit,Boston,ATM,Retired,2024-11-04 08:12:15,Senior,1
233.92,26.0,280.0,1.0,6537.62,2023-10-20 16:54:28,Credit,Jacksonville,Online,Student,2024-11-04 08:08:45,Young,3
232.12,37.0,51.00000000000001,1.0,6689.87,2023-12-28 17:31:03,Debit,,ATM,Engineer,2024-11-04 08:09:17,Adult,3
91.53,44.0,69.00000000000001,1.0,14676.05,2023-03-13 16:32:12,Debit,Milwaukee,Branch,Doctor,2024-11-04 08:11:36,Adult,2
120.29,19.0,77.0,1.0,1362.39,2023-12-18 18:46:27,Debit,Miami,Branch,Student,2024-11-04 08:06:50,Young,3
174.25,50.0,67.0,1.0,10528.34,2023-07-17 18:54:31,Debit,Seattle,Online,Doctor,2024-11-04 08:10:29,Senior,1
183.71,38.0,102.0,1.0,552.52,2023-06-19 18:22:10,Debit,Denver,ATM,Engineer,2024-11-04 08:09:51,Adult,1
345.39,58.0,80.0,1.0,6451.96,,Credit,Phoenix,,Engineer,2024-11-04 08:08:16,Senior,3
259.91,49.0,170.0,1.0,7176.86,2023-11-06 16:34:10,Debit,Denver,Online,Doctor,2024-11-04 08:09:38,Adult,3
154.71,34.0,157.0,1.0,1523.72,2023-07-03 16:40:24,Debit,San Diego,Online,Doctor,2024-11-04 08:09:42,Adult,1
24.56,64.0,69.00000000000001,1.0,9869.93,2023-10-20 17:27:35,Debit,Mesa,Branch,Doctor,2024-11-04 08:12:05,Senior,3
568.07,48.0,115.0,1.0,10556.81,2023-08-28 17:03:53,,Washington,ATM,Doctor,2024-11-04 08:07:32,Adult,1
9.61,58.0,179.0,1.0,12883.91,2023-06-22 18:37:29,Credit,San Diego,Online,Doctor,2024-11-04 08:09:10,Senior,1
392.96,24.0,100.00000000000001,1.0,791.65,2023-11-20 16:28:09,Debit,Kansas City,Online,Student,2024-11-04 08:08:38,Young,3
716.93,60.0,34.0,1.0,4064.02,2023-09-14 16:49:33,Credit,Milwaukee,Online,Retired,2024-11-04 08:08:12,Senior,3
230.66,21.0,135.0,1.0,618.05,2023-03-27 18:16:04,Debit,Houston,Branch,Student,2024-11-04 08:10:44,Young,2
644.17,29.0,72.0,1.0,1143.52,2023-03-02 16:05:09,Debit,San Antonio,ATM,Engineer,2024-11-04 08:08:04,Young,2
508.67999999999995,51.0,127.0,1.0,7708.41,2023-06-26 16:16:50,Credit,Mesa,Branch,Engineer,2024-11-04 08:09:32,Senior,1
858.63,27.0,185.0,1.0,1872.96,2023-04-18 17:27:23,Credit,San Francisco,Branch,Student,2024-11-04 08:10:47,Young,2
25.36,57.0,78.0,1.0,201.04,2023-07-17 17:08:24,Debit,Louisville,ATM,Engineer,2024-11-04 08:11:05,Senior,1
147.62,71.0,133.0,1.0,2115.8,2023-09-01 17:26:02,Debit,Charlotte,Branch,Retired,2024-11-04 08:07:22,Senior,1
115.02,37.0,175.0,1.0,7643.66,2023-09-11 16:19:04,Debit,San Antonio,Branch,Doctor,2024-11-04 08:08:38,Adult,1
383.37,30.0,24.0,1.0,8901.93,2023-01-24 17:23:56,Debit,Fort Worth,Branch,Engineer,2024-11-04 08:11:07,Adult,2
98.54,20.0,167.0,1.0,9383.43,2023-08-11 16:18:46,Credit,El Paso,Online,Student,2024-11-04 08:10:02,Young,1
83.24,55.0,164.0,1.0,1181.31,2023-10-16 18:35:11,,Fort Worth,Branch,Doctor,2024-11-04 08:10:52,Senior,3
196.16,27.0,146.0,1.0,9418.86,2023-02-24 16:29:23,Debit,Virginia Beach,Branch,Engineer,2024-11-04 08:08:32,Young,2
129.94,32.0,235.0,1.0,7954.919999999999,2023-01-02 16:36:02,Debit,Las Vegas,ATM,Engineer,2024-11-04 08:06:35,Adult,2
306.9,46.0,51.00000000000001,1.0,9418.08,2023-11-30 16:31:03,Debit,Colorado Springs,Online,Engineer,2024-11-04 08:10:48,Adult,3
114.98,59.0,80.0,1.0,6144.68,2023-11-01 16:52:01,Debit,Seattle,Online,Retired,2024-11-04 08:09:24,Senior,3
756.59,27.0,17.0,1.0,420.65,2023-03-06 16:47:02,Debit,Sacramento,Branch,Student,2024-11-04 08:11:40,Young,2
503.76000000000005,22.0,35.0,1.0,447.82,2023-11-27 18:32:49,Debit,Los Angeles,Online,Student,2024-11-04 08:09:22,Young,3
143.03,63.0,147.0,1.0,7981.450000000001,2023-07-31 16:37:46,Debit,San Antonio,ATM,Retired,2024-11-04 08:10:42,Senior,1
245.54,25.0,180.0,1.0,985.0600000000001,2023-03-21 16:29:31,,New York,ATM,Student,2024-11-04 08:10:26,Young,2
254.37000000000003,51.0,174.0,1.0,8849.26,2023-04-20 18:26:50,Credit,Dallas,Online,Engineer,2024-11-04 08:06:56,Senior,2
213.76,78.0,282.0,1.0,3528.72,2023-03-01 17:52:14,Credit,Dallas,ATM,Retired,2024-11-04 08:09:36,Senior,2
327.86,40.0,104.0,1.0,480.16,2023-02-10 16:52:48,Debit,Fresno,Online,Engineer,2024-11-04 08:06:30,Adult,2
2.5,47.0,107.0,1.0,12145.27,2023-07-21 16:43:11,Debit,San Diego,Online,Doctor,2024-11-04 08:09:53,Adult,1
300.08,68.0,47.0,1.0,13546.75,2023-10-09 17:02:43,Credit,Austin,Online,Doctor,2024-11-04 08:12:18,Senior,3
407.65,26.0,61.99999999999999,1.0,8346.64,2023-07-07 16:11:38,Debit,Boston,Online,Engineer,,Young,1
115.83,39.0,167.0,1.0,6481.04,2023-05-22 17:09:52,Debit,Fresno,Branch,Engineer,2024-11-04 08:10:02,Adult,1
53.57,69.0,121.0,1.0,1651.33,2023-08-16 16:17:12,Debit,Houston,ATM,Retired,2024-11-04 08:08:43,Senior,1
63.34,46.0,165.0,1.0,11174.94,2023-11-17 16:02:02,Credit,Detroit,Online,Doctor,2024-11-04 08:10:13,Adult,3
317.87,27.0,91.0,1.0,145.5,,Debit,Detroit,Online,Student,2024-11-04 08:11:32,Young,3
331.65,41.0,61.00000000000001,1.0,4172.57,2023-08-25 17:26:07,Debit,Portland,Online,Engineer,2024-11-04 08:11:00,Adult,1
5.04,56.0,41.0,1.0,5558.36,2023-11-27 16:38:34,Debit,Washington,ATM,Retired,2024-11-04 08:10:48,Senior,3
214.54,70.0,247.0,1.0,11151.53,2023-08-04 17:46:44,Credit,Detroit,Online,Doctor,2024-11-04 08:11:56,Senior,1
598.81,57.0,158.0,1.0,1415.52,2023-09-04 16:48:35,Debit,Philadelphia,Branch,Doctor,2024-11-04 08:10:13,Senior,1
841.28,26.0,80.0,1.0,1103.64,2023-08-09 17:34:26,Debit,Tucson,Online,Student,2024-11-04 08:09:58,Young,1
38.15,26.0,107.99999999999999,1.0,303.68,2023-09-07 16:07:40,Debit,Mesa,Online,Student,2024-11-04 08:07:42,Young,1
124.72,33.0,105.0,1.0,6309.8,2023-07-03 17:14:07,Debit,Oklahoma City,Branch,Engineer,2024-11-04 08:07:25,Adult,1
302.45,78.0,40.0,1.0,5133.61,2023-09-25 17:13:36,Credit,San Antonio,Branch,Retired,2024-11-04 08:11:55,Senior,3
208.04,47.0,273.0,1.0,9344.98,2023-11-20 17:10:02,Debit,Louisville,Online,Engineer,2024-11-04 08:08:45,Adult,3
5.77,23.0,254.0,1.0,1117.97,2023-11-17 17:27:07,Credit,Los Angeles,Branch,Student,2024-11-04 08:10:53,Young,3
381.33,56.0,75.0,1.0,11835.35,2023-08-21 16:46:05,Debit,Albuquerque,ATM,Doctor,2024-11-04 08:09:32,Senior,1
16.16,50.0,123.99999999999999,1.0,14401.17,2023-10-16 16:59:36,Debit,Milwaukee,ATM,Doctor,2024-11-04 08:11:59,Senior,3
486.0799999999999,18.0,68.00000000000001,1.0,1748.69,2023-06-20 17:21:50,Debit,Oklahoma City,Online,Student,2024-11-04 08:07:03,Young,1
336.39,21.0,18.0,1.0,1000.46,2023-01-16 16:53:38,Debit,San Antonio,Branch,Student,2024-11-04 08:09:57,Young,2
234.57,23.0,120.0,1.0,263.98,2023-09-01 16:09:08,Debit,Chicago,Online,Student,2024-11-04 08:08:47,Young,1
6.0,30.0,246.0,1.0,5442.76,2023-10-23 18:38:15,Debit,Chicago,Online,Doctor,2024-11-04 08:09:43,Adult,3
227.14,18.0,294.0,1.0,341.94,2023-07-03 17:42:08,Debit,Charlotte,ATM,Student,2024-11-04 08:11:34,Young,1
233.74,66.0,17.0,1.0,1066.59,2023-10-24 16:41:00,Credit,Oklahoma City,Online,Retired,2024-11-04 08:11:17,Senior,3
45.85,20.0,91.99999999999999,1.0,1659.15,2023-02-16 17:57:10,Debit,Los Angeles,ATM,Student,2024-11-04 08:07:24,Young,2
415.5,66.0,141.0,1.0,10113.66,2023-07-28 16:29:23,Debit,Memphis,ATM,Doctor,2024-11-04 08:10:23,Senior,1
265.76,54.0,91.99999999999999,1.0,4446.17,2023-02-06 17:48:55,Debit,Philadelphia,Online,Retired,2024-11-04 08:12:18,Senior,2
69.4,80.0,113.0,1.0,6452.77,2023-07-24 18:08:43,Debit,Virginia Beach,Online,Retired,2024-11-04 08:09:04,Senior,1
332.93,35.0,293.0,1.0,2788.2,2023-11-20 16:29:48,Credit,Albuquerque,Branch,Engineer,2024-11-04 08:08:14,Adult,3
267.9,20.0,160.0,1.0,596.1599999999999,2023-10-09 16:52:47,Debit,San Antonio,Online,Student,2024-11-04 08:08:34,Young,3
496.0299999999999,61.0,265.0,1.0,12904.66,2023-11-03 16:45:52,Debit,San Francisco,Branch,Doctor,2024-11-04 08:09:41,Senior,3
376.26,37.0,245.0,1.0,9062.4,2023-02-15 16:41:11,Debit,Tucson,ATM,Engineer,2024-11-04 08:09:58,Adult,2
83.02,36.0,171.0,1.0,9009.56,2023-09-04 17:59:51,Credit,Seattle,Online,Engineer,2024-11-04 08:11:01,Adult,1
93.26,20.0,72.0,1.0,1152.2,2023-07-27 16:22:52,Credit,New York,Online,Student,2024-11-04 08:12:04,Young,1
803.37,68.0,129.0,1.0,12168.37,2023-04-17 16:08:34,Credit,Memphis,Branch,Doctor,2024-11-04 08:08:40,Senior,2
35.76,23.0,122.0,1.0,611.8599999999999,2023-09-19 17:38:18,Debit,Charlotte,Branch,Student,2024-11-04 08:11:40,Young,3
28.53,62.0,99.0,1.0,8670.53,2023-05-31 16:37:39,Debit,Washington,Online,Doctor,2024-11-04 08:06:30,Senior,1
139.53,53.0,177.0,1.0,10098.86,2023-10-09 17:20:09,Credit,Louisville,Online,Doctor,2024-11-04 08:07:31,Senior,3
307.57,33.0,285.0,1.0,5307.74,2023-01-09 16:12:01,Debit,Detroit,Branch,Doctor,2024-11-04 08:06:33,Adult,2
60.650000000000006,56.0,53.00000000000001,1.0,1047.28,2023-05-26 18:15:08,Credit,Tucson,Branch,Retired,2024-11-04 08:09:22,Senior,1
74.86,70.0,125.0,1.0,6921.48,2023-08-14 17:43:17,Debit,Nashville,Branch,Doctor,2024-11-04 08:07:39,Senior,1
231.91,34.0,165.0,1.0,112.76,2023-01-31 18:31:22,Debit,Memphis,ATM,Engineer,2024-11-04 08:12:15,Adult,2
126.20999999999998,75.0,268.0,1.0,5669.66,2023-02-14 16:07:01,Debit,Baltimore,Branch,Retired,2024-11-04 08:08:42,Senior,2
304.35,31.0,36.0,1.0,4057.1,2023-12-04 17:07:34,Debit,Houston,Branch,Engineer,2024-11-04 08:08:45,Adult,3
281.85,22.0,109.0,1.0,1585.98,2023-05-16 17:26:37,Debit,Detroit,ATM,Student,2024-11-04 08:07:38,Young,1
777.88,31.0,17.0,1.0,6825.55,2023-03-20 16:58:12,Debit,Houston,Branch,Engineer,2024-11-04 08:09:15,Adult,2
119.18,56.0,96.0,1.0,5516.5,2023-08-25 18:01:38,Debit,Los Angeles,Branch,Retired,2024-11-04 08:07:34,Senior,1
177.19,76.0,43.0,1.0,5343.3,2023-05-15 17:25:28,Debit,Chicago,Online,Retired,2024-11-04 08:06:30,Senior,1
260.88,22.0,36.0,1.0,903.05,2023-05-29 16:50:10,Debit,Denver,Branch,Student,2024-11-04 08:06:52,Young,1
169.47,24.0,18.999999999999996,1.0,1806.16,2023-03-22 16:10:14,Debit,Chicago,Online,Student,2024-11-04 08:07:37,Young,2
73.23,26.0,14.0,1.0,787.7399999999999,2023-05-19 16:52:53,Debit,Portland,Branch,Student,2024-11-04 08:11:12,Young,1
792.57,19.0,164.0,1.0,770.37,2023-05-22 16:22:36,Debit,Baltimore,ATM,Student,2024-11-04 08:10:39,Young,1
237.06,71.0,45.99999999999999,1.0,1182.77,2023-12-18 16:47:17,Debit,Phoenix,Online,Retired,2024-11-04 08:07:50,Senior,3
34.17,54.0,53.99999999999999,1.0,726.55,2023-11-21 16:57:43,Credit,Philadelphia,Online,Engineer,2024-11-04 08:06:29,Senior,3
740.25,41.0,123.0,1.0,14464.3,2023-07-19 17:03:58,Debit,Philadelphia,Online,Doctor,2024-11-04 08:08:27,Adult,1
453.54,58.0,82.0,1.0,12046.3,2023-04-19 16:36:03,Debit,Albuquerque,ATM,Doctor,2024-11-04 08:12:06,Senior,2
300.47,73.0,100.00000000000001,1.0,7885.64,2023-11-13 16:11:52,Debit,Jacksonville,Branch,Retired,2024-11-04 08:08:00,Senior,3
110.93,19.0,201.0,1.0,1952.3499999999997,2023-04-07 16:38:15,Credit,Virginia Beach,Branch,Student,2024-11-04 08:10:53,Young,2
201.69,59.0,299.0,1.0,7328.52,2023-01-03 16:46:36,Debit,Las Vegas,ATM,Doctor,2024-11-04 08:10:16,Senior,2
399.21,59.0,109.0,1.0,3210.39,2023-01-30 16:15:49,Debit,Portland,ATM,Engineer,2024-11-04 08:08:21,Senior,2
630.36,62.0,52.00000000000001,1.0,1363.65,2023-03-02 16:11:53,Debit,Mesa,ATM,Retired,2024-11-04 08:12:15,Senior,2
10.94,60.0,245.0,1.0,1241.99,2023-10-23 17:24:07,Credit,Philadelphia,ATM,Engineer,2024-11-04 08:11:53,Senior,3
215.9,38.0,235.0,1.0,7873.280000000001,2023-01-04 16:02:09,Debit,Los Angeles,ATM,Doctor,2024-11-04 08:10:23,Adult,2
226.37,49.0,141.0,1.0,9840.04,2023-09-18 17:07:08,,Louisville,Branch,Doctor,2024-11-04 08:09:56,Adult,3
444.89,43.0,101.0,1.0,10328.23,2023-09-11 16:27:39,Credit,Las Vegas,Branch,Doctor,2024-11-04 08:11:50,Adult,3
280.57,25.0,24.0,1.0,293.24,2023-01-27 17:35:05,Credit,Virginia Beach,Online,Student,2024-11-04 08:10:24,Young,2
488.54,52.0,132.0,1.0,7486.63,2023-07-03 17:47:49,Debit,Jacksonville,Branch,Engineer,2024-11-04 08:07:26,Senior,1
3.3,50.0,131.0,1.0,11385.37,2023-03-27 16:42:16,Credit,Los Angeles,Branch,Doctor,2024-11-04 08:10:11,Senior,2
199.39,69.0,165.0,1.0,7264.79,2023-08-21 16:16:22,,Colorado Springs,Branch,Retired,2024-11-04 08:09:06,Senior,1
20.36,62.0,75.0,1.0,2762.48,2023-07-24 17:02:18,Debit,Tucson,Branch,Retired,2024-11-04 08:11:15,Senior,1
493.11,53.0,236.0,1.0,7432.99,2023-07-31 16:25:26,Debit,Colorado Springs,Branch,Retired,2024-11-04 08:08:01,Senior,1
307.41,19.0,14.0,1.0,1057.0,2023-06-12 17:32:52,Debit,Los Angeles,ATM,Student,2024-11-04 08:09:48,Young,1
11.18,43.0,161.0,1.0,5956.89,2023-11-30 16:52:42,Debit,Atlanta,Online,Doctor,2024-11-04 08:10:20,Adult,3
313.82,59.0,151.0,1.0,7261.59,2023-11-15 18:57:38,Debit,Tucson,Branch,Engineer,2024-11-04 08:08:42,Senior,3
140.98,60.0,100.00000000000001,1.0,8127.4800000000005,2023-05-25 16:34:22,Debit,Memphis,Branch,Engineer,2024-11-04 08:12:13,Senior,1
288.04,68.0,63.0,1.0,1748.02,2023-08-24 16:47:21,Debit,Denver,ATM,Retired,2024-11-04 08:10:00,Senior,1
800.55,31.0,107.99999999999999,1.0,9660.22,2023-05-04 16:21:31,Debit,Oklahoma City,ATM,Engineer,2024-11-04 08:06:49,Adult,2
485.54,46.0,143.0,1.0,6371.51,2023-02-06 17:46:59,Debit,Houston,ATM,Engineer,2024-11-04 08:11:46,Adult,2
521.15,54.0,214.0,1.0,9442.47,2023-02-17 18:16:05,Debit,Kansas City,ATM,Doctor,2024-11-04 08:07:31,Senior,2
304.93,65.0,158.0,1.0,13531.22,2023-02-24 16:23:22,Debit,Portland,ATM,Doctor,2024-11-04 08:08:15,Senior,2
432.08,40.0,145.0,1.0,11500.62,2023-07-31 16:04:55,,El Paso,ATM,Doctor,2024-11-04 08:11:46,Adult,1
694.2,61.0,72.0,1.0,1389.37,2023-12-07 16:20:08,Debit,Milwaukee,ATM,Retired,2024-11-04 08:07:23,Senior,3
116.86,55.0,171.0,1.0,6706.56,2023-03-20 18:28:48,Debit,Louisville,ATM,Engineer,2024-11-04 08:12:15,Senior,2
74.88,25.0,202.0,1.0,420.67,2023-05-24 16:25:50,Debit,Atlanta,ATM,Student,2024-11-04 08:07:46,Young,1
890.24,33.0,161.0,1.0,5140.93,2023-07-07 18:03:43,Credit,Las Vegas,Online,Engineer,2024-11-04 08:07:32,Adult,1
361.27,63.0,180.0,1.0,7945.57,2023-01-06 17:01:53,Debit,Omaha,ATM,Doctor,2024-11-04 08:10:07,Senior,2
131.56,44.0,42.00000000000001,1.0,5873.54,2023-10-19 16:42:37,Debit,Charlotte,Branch,Doctor,2024-11-04 08:07:12,Adult,3
485.51,76.0,37.0,1.0,3074.45,2023-11-28 16:49:27,Credit,Milwaukee,Online,Retired,2024-11-04 08:08:02,Senior,3
547.87,64.0,131.0,1.0,6155.76,2023-07-10 17:15:27,Debit,Columbus,ATM,Retired,2024-11-04 08:10:31,Senior,1
457.3,28.0,15.0,1.0,8318.29,2023-06-26 18:25:21,Debit,Virginia Beach,Online,Engineer,2024-11-04 08:07:53,Young,1
506.24,58.0,64.0,1.0,230.09,2023-01-13 16:44:26,Debit,Chicago,ATM,Engineer,2024-11-04 08:11:40,Senior,2
486.59,57.0,119.0,1.0,2513.56,2023-12-19 16:55:17,Debit,Indianapolis,Branch,Retired,2024-11-04 08:10:02,Senior,3
